ASV_ID	Phylum	Class	Order	Family	Genus	Species	pct_identity	status	records	selected_level	BIN	flags	Original_OTU_Count
17ec2cb69dcb4c0a37e70a6d9d37c872	Arthropoda	Insecta	Lepidoptera				85.197	public	1	Order		1--4	1
f550629ee45d30d1497df5be9b2c0de8	Arthropoda	Insecta	Diptera	Sciaridae	Corynoptera	Corynoptera perpusilla	100.0	public	95	Species	BOLD:AAN6447	1	1
a5d1ba5c8ab9d8531b2aadea6e0cdf7b	Arthropoda	Collembola	Poduromorpha	Hypogastruridae	Ceratophysella	Ceratophysella gibbosa	99.06	public	1	Species	BOLD:ACH3242	4	1
f59e56e443154d650495e79e0e2b8121	Arthropoda	Insecta	Hymenoptera				87.147	public	1	Order		4	1
c67e74d656c4f62e93025694edc3aff6	Arthropoda	Insecta	Hemiptera				85.22	public	2	Order		1--2	1
8a03b3b081e84b54d2919243c30dc5cd	Arthropoda	Insecta	Hymenoptera				86.139	public	1	Order		2--4	1
06d17b1a034746c7adc7e5f40e55d832	Arthropoda	Insecta	Lepidoptera				85.256	public	1	Order		1--4	1
9f4bbad62606a3afa6601133576f4217	Arthropoda	Insecta	Lepidoptera	Gracillariidae			90.0	public	1	Family		1--4	1
fb09428b09f93d14c5eb6611d5b03d27	Arthropoda	Insecta	Lepidoptera				87.781	public	1	Order		1--4	1
aea2385a220c99e7c00409a9980274b5	Arthropoda	Insecta	Lepidoptera				86.604	public	1	Order		1--4	1
f310408d2c05f0c1c52e5a199045c9c6	Arthropoda	Insecta	Hemiptera				85.174	public	2	Order		1	1
41f1a1415f57908142347a58689a10a3	Arthropoda	Insecta	Lepidoptera				85.625	public	1	Order		1--4	1
999273431d3c4c73101e1feba43370e7	Arthropoda	Insecta	Lepidoptera				88.125	public	1	Order		1--4	1
99de0fe4a7b56c5019c1431e9feb07ed	Arthropoda	Insecta	Coleoptera				85.032	public	1	Order		2--4	1
6311f3f318dacad179870b6ab802e7dd	Arthropoda	Insecta	Lepidoptera				85.526	public	1	Order		1--4	1
de3480fb6b7ae45b0a3eff8234a9cbca	Arthropoda	Copepoda	Calanoida				85.139	public	1	Order		4	1
